Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
"C1","100n","C_0402_1005Metric",-145.711502,-86.464324,-135.000000,bottom
"C2","22u","C_0603_1608Metric",-138.172026,-91.974501,-135.000000,bottom
"C3","4u7","C_0402_1005Metric",-144.756700,-109.600548,180.000000,bottom
"C4","100n","C_0402_1005Metric",-142.804669,-107.789938,-90.000000,bottom
"C5","100n","C_0402_1005Metric",-144.700964,-108.524913,180.000000,bottom
"C6","100n","C_0402_1005Metric",-146.650913,-108.524913,180.000000,bottom
"C7","100n","C_0402_1005Metric",-152.150913,-107.104913,90.000000,bottom
"C8","1u","C_0402_1005Metric",-154.178000,-91.740000,90.000000,bottom
"C9","100n","C_0402_1005Metric",-155.194000,-91.740000,90.000000,bottom
"C10","4u7","C_0402_1005Metric",-153.416000,-93.716000,90.000000,bottom
"C11","1u","C_0402_1005Metric",-153.050913,-95.268000,180.000000,bottom
"C12","100n","C_0402_1005Metric",-147.655838,-98.781815,90.000000,bottom
"C13","100n","C_0402_1005Metric",-142.370913,-104.424913,180.000000,bottom
"C14","100n","C_0402_1005Metric",-142.367512,-105.428618,180.000000,bottom
"C15","100n","C_0402_1005Metric",-137.236913,-94.595502,-45.000000,bottom
"C16","1u","C_0402_1005Metric",-140.750913,-104.224913,-90.000000,bottom
"C17","100n","C_0402_1005Metric",-129.194324,-114.578324,135.000000,bottom
"C18","100n","C_0402_1005Metric",-138.929502,-95.274324,45.000000,bottom
"D1","M7","D_MiniMELF",-148.388350,-88.562350,-45.000000,bottom
"D7","White","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-149.550913,-93.524913,-135.000000,bottom
"D8","White","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-142.250913,-101.149912,90.000000,bottom
"J1","USB_B_Mini","USB_Mini-B_Wuerth_65100516121_Horizontal",-163.322000,-82.042000,-45.000000,bottom
"Q1","AO3401A","SOT-23",-151.737087,-87.022913,45.000000,bottom
"Q2","S8050","SOT-23",-155.602913,-105.056913,135.000000,bottom
"Q3","S8050","SOT-23",-158.052664,-102.353161,-45.000000,bottom
"R1","1k","R_0402_1005Metric",-129.764289,-106.725537,-135.000000,bottom
"R2","1k","R_0402_1005Metric",-156.103376,-84.221376,-45.000000,bottom
"R3","2k","R_0402_1005Metric",-157.226000,-92.202000,0.000000,bottom
"R4","1k","R_0402_1005Metric",-127.582913,-113.476913,0.000000,bottom
"R5","1k","R_0402_1005Metric",-158.643376,-77.322624,-135.000000,bottom
"R6","10k","R_0402_1005Metric",-159.256000,-92.202000,0.000000,bottom
"R7","10k","R_0402_1005Metric",-139.750913,-102.434913,90.000000,bottom
"R8","1k","R_0402_1005Metric",-139.599259,-89.467399,-135.000000,bottom
"R9","10k","R_0402_1005Metric",-159.405376,-100.477376,-45.000000,bottom
"R10","10k","R_0402_1005Metric",-154.833376,-101.960624,45.000000,bottom
"R11","10k","R_0402_1005Metric",-135.606289,-106.258289,-45.000000,bottom
"R12","1k","R_0402_1005Metric",-150.011537,-95.264289,-135.000000,bottom
"R13","1k","R_0402_1005Metric",-140.538913,-100.214913,90.000000,bottom
"R14","0R","R_0402_1005Metric",-140.064722,-107.638705,180.000000,bottom
"SW2","SW_Push","SW_Push_1P1T_NO_CK_KSC6xxJ",-132.156913,-110.174913,-135.000000,bottom
"U1","AMS1117-3.3","SOT-223-3_TabPin2",-143.999513,-92.472307,-135.000000,bottom
"U2","USBLC6-2SC6","SOT-23-6",-158.550913,-87.824913,-135.000000,bottom
"U3","CP2102-GMR","QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm",-157.150913,-96.266000,0.000000,bottom
"U4","ESP32-PICO-D4","QFN-48-1EP_7x7mm_P0.5mm_EP5.3x5.3mm",-147.467309,-103.881612,0.000000,bottom
"D2","Blue","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",133.172913,-106.364913,0.000000,top
"D3","Blue","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",157.048913,-81.463913,90.000000,top
"D4","Emerald","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",127.584913,-110.927913,90.000000,top
"D5","Emerald","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",162.881913,-76.646913,0.000000,top
"D6","Red","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",141.084129,-90.071697,45.000000,top
